NAM	PRO	DAY	MON	YEA	HOU	TMZ	LAT	LON	PLA
Aaron Harold	MI	21	06	1921	07:00	6h	40N29	86W8	Kokomo, IN
Aaron Henry	SP	05	02	1934	20:25	6h	30N41	88W3	Mobile, AL
Abramowicz Daniel	SP	13	07	1945	09:16	4h	40N22	80W37	Steubenville, OH
Adams Robert	SC	23	07	1926	06:17	5h	41N52	87W39	Chicago, IL
Akins James	PO	15	10	1926	02:00	5h	41N5	81W31	Akron, OH
Akins Virgil	SP	10	03	1928	18:45	6h	38N37	90W12	St Louis, MO
Alberty Robert	SC	21	06	1921	01:30	6h	37N14	96W59	Winfield, KS
Albright Jack	MI	10	01	1921	00:10	6h	35N8	90W3	Memphis, TN
Aldredge Tom	AC	28	02	1928	12:15	5h	39N45	84W12	Dayton, OH
Aldrin Edwin	MI	20	01	1930	14:17	5h	40N49	74W13	Montclair, NJ
Alioto Joseph	PO	12	02	1916	08:00	8h	37N47	122W25	San Francisco, CA
Allen Elisabeth	SP	24	11	1950	08:40	5h	34N0	81W3	Columbia, SC
Allen James	MI	17	11	1925	07:50	6h	38N15	85W46	Louisville, KY
Aller Lawrence	SC	24	09	1913	19:30	8h	47N14	122W26	Tacoma, WA
Alpert Herb	AR	31	03	1935	14:46	8h	34N4	118W15	Los Angeles, CA
Alvarez Luis	SC	13	06	1911	02:45	8h	37N47	122W25	San Francisco, CA
Alworth Lance	SP	03	08	1940	23:04	6h	29N46	95W22	Houston, TX
Ameche Alan	SP	01	06	1933	20:00	6h	42N35	87W49	Kenosha, WI
Ameche Don	AC	31	05	1908	19:00	6h	42N35	87W49	Kenosha, WI
Anderson Jackson	XX	09	10	1922	22:18	8h	33N47	118W11	Long Beach, CA
Anderson John	PO	15	02	1922	20:55	6h	42N16	89W6	Rockford, IL
Anderson Norman	MI	07	02	1913	19:45	6h	44N5	87W41	Manitowoc, WI
Anderson Paul	SP	17	10	1932	05:30	5h	34N35	83W19	Toccoa, GA
Anderson Richard	MI	26	06	1921	00:40	8h	47N14	122W26	Tacoma, WA
Anderson Robert	EX	13	04	1917	05:00	6h	41N52	87W39	Chicago, IL
Anderson Roy	EX	15	12	1920	00:20	8h	37N44	121W7	Ripon, CA
Anderson Wendell	PO	01	02	1933	12:15	6h	44N57	93W6	St Paul, MN
Andrews Burton	MI	14	07	1916	11:35	8h	34N4	118W15	Los Angeles, CA
Andrus Cecil	PO	25	08	1931	08:20	8h	45N43	121W31	Hood River, OR
Annenberg Walter	PO	13	03	1908	13:30	6h	43N2	87W55	Milwaukee, WI
Anspach Herbert	EX	03	09	1926	04:00	6h	40N46	83W49	Ada, OH
Anthony Earl	SP	27	04	1938	04:38	8h	47N14	122W20	Tacoma, WA
Anthony Joseph	AC	24	05	1912	21:00	6h	43N2	87W55	Milwaukee, WI
Antoon A.	AC	07	12	1944	13:55	4h	42N43	71W10	Lawrence, MA
Archer George	SP	01	10	1939	23:05	8h	37N47	122W25	San Francisco, CA
Arfons Art	AR	03	02	1926	00:45	6h	41N5	81W31	Akron, OH
